Time [s],Current [A],Voltage [V],X-averaged cell temperature [K],TimeDiff,CapacityDiff,SOC
194.0,10.0,3.6963912873159455,298.15,1.0,-0.002777777777777778,0.8922222222222269
195.0,10.0,3.6957186109262787,298.15,1.0,-0.002777777777777778,0.8916666666666714
196.0,10.0,3.6950484212624213,298.15,1.0,-0.002777777777777778,0.8911111111111159
197.0,10.0,3.6943806739375553,298.15,1.0,-0.002777777777777778,0.8905555555555603
198.0,10.0,3.693715260904053,298.15,1.0,-0.002777777777777778,0.8900000000000048
199.0,10.0,3.693052118475447,298.15,1.0,-0.002777777777777778,0.8894444444444493
200.0,10.0,3.6923911829652685,298.15,1.0,-0.002777777777777778,0.8888888888888937
201.0,10.0,3.6917323906870516,298.15,1.0,-0.002777777777777778,0.8883333333333382
202.0,10.0,3.691075677954331,298.15,1.0,-0.002777777777777778,0.8877777777777827
203.0,10.0,3.690420981080636,298.15,1.0,-0.002777777777777778,0.8872222222222271
204.0,10.0,3.6897680212916937,298.15,1.0,-0.002777777777777778,0.8866666666666716
205.0,10.0,3.6891168437363464,298.15,1.0,-0.002777777777777778,0.8861111111111161
206.0,10.0,3.6884673927439344,298.15,1.0,-0.002777777777777778,0.8855555555555605
207.0,10.0,3.687819594335511,298.15,1.0,-0.002777777777777778,0.885000000000005
208.0,10.0,3.6871733745321333,298.15,1.0,-0.002777777777777778,0.8844444444444495
209.0,10.0,3.686528659354854,298.15,1.0,-0.002777777777777778,0.8838888888888939
210.0,10.0,3.6858853748247307,298.15,1.0,-0.002777777777777778,0.8833333333333384
211.0,10.0,3.685243493084659,298.15,1.0,-0.002777777777777778,0.8827777777777829
212.0,10.0,3.6846030625537827,298.15,1.0,-0.002777777777777778,0.8822222222222273
213.0,10.0,3.683963915247208,298.15,1.0,-0.002777777777777778,0.8816666666666718
214.0,10.0,3.6833259855519387,298.15,1.0,-0.002777777777777778,0.8811111111111163
215.0,10.0,3.6826892078549713,298.15,1.0,-0.002777777777777778,0.8805555555555608
216.0,10.0,3.682053516543307,298.15,1.0,-0.002777777777777778,0.8800000000000052
217.0,10.0,3.6814188460039468,298.15,1.0,-0.002777777777777778,0.8794444444444497
218.0,10.0,3.680785130623889,298.15,1.0,-0.002777777777777778,0.8788888888888942
219.0,10.0,3.680152500413912,298.15,1.0,-0.002777777777777778,0.8783333333333386
